alimento,categoria,calorias,proteinas,carbohidratos,grasas,fibra,region,preparacion
Pizza margarita manzana bajo en grasas,Segundo,429,48.8,18.6,12.3,0.4,Oceania,Horno
Pizza de pepperoni naranja sin gluten,Segundo,401,26.9,17.6,35.7,4.1,Oceania,Frito
Pasta boloñesa vainilla bajo en grasas,Segundo,368,37.1,24.7,23.4,4.0,Oceania,Asado
Pastel de chocolate limon integral,Postre,259,4.7,77.5,26.0,3.6,America,Horno
Helado de vainilla manzana sin gluten,Postre,196,7.8,33.3,12.9,1.4,America,Asado
Tarta de manzana coco bajo en grasas,Postre,588,2.8,43.0,5.3,4.1,Oceania,Frito
Flan limon vegetariano,Postre,477,4.7,71.0,12.7,1.1,Asia,Asado
Brownie vainilla integral,Postre,408,3.8,72.5,9.1,3.1,Oceania,Horno
Mousse de limon limon alto en fibra,Postre,555,7.9,66.7,10.6,4.1,Oceania,Cocido
Galletas de avena mango alto en fibra,Postre,320,2.8,70.8,21.1,3.6,Europa,Crudo
Pan dulce coco sin azucar,Postre,243,3.4,59.0,15.0,2.7,Oceania,Asado
Churros coco alto en fibra,Postre,409,7.6,30.4,24.6,2.4,Europa,Horno
Arroz con leche vainilla vegetariano,Postre,427,3.0,49.8,19.5,4.1,Asia,Crudo
Pastel de zanahoria vainilla bajo en grasas,Postre,516,4.5,53.9,22.2,1.0,America,Cocido
Helado de fresa fresa sin gluten,Postre,230,3.6,50.5,24.6,2.5,Africa,Cocido
Tarta de queso mango sin azucar,Postre,187,4.4,55.7,9.0,2.6,Oceania,Asado
Panna cotta vainilla sin gluten,Postre,174,5.7,50.7,11.4,1.5,Europa,Horno
Crema catalana limon alto en fibra,Postre,601,4.4,50.6,29.7,1.5,Asia,Crudo
Galletas de chocolate limon vegetariano,Postre,422,3.8,35.4,8.1,4.6,America,Crudo
Pastel selva negra vainilla bajo en grasas,Postre,499,7.5,34.9,11.4,2.2,Europa,Horno
Cheesecake de limon naranja sin azucar,Postre,690,2.2,35.8,11.9,4.4,Oceania,Asado
Yogur natural chocolate sin azucar,Postre,270,6.5,54.2,21.3,1.5,America,Crudo
Yogur de frutas mango sin azucar,Postre,685,5.2,50.2,6.3,1.6,Africa,Crudo
Sopa de verduras limon bajo en grasas,Primero,229,14.3,36.8,2.4,6.5,Europa,Frito
Ensalada Cesar vainilla alto en fibra,Primero,240,10.4,38.5,8.7,7.4,Oceania,Horno
Crema de calabaza coco bajo en grasas,Primero,521,8.8,27.1,14.9,7.8,Africa,Cocido
Minestrone vainilla alto en fibra,Primero,232,12.2,25.1,14.8,2.9,Asia,Asado
Gazpacho mango integral,Primero,272,9.4,36.5,11.3,5.7,Oceania,Asado
Sopa de pollo vainilla vegetariano,Primero,367,11.9,13.2,14.5,3.4,Asia,Crudo
Caldo gallego coco vegetariano,Primero,610,7.6,14.7,8.8,9.8,Oceania,Asado
Salmorejo mango bajo en grasas,Primero,597,5.6,34.4,11.2,5.4,Oceania,Cocido
Crema de esparragos mango alto en fibra,Primero,533,10.1,33.8,2.7,3.0,America,Frito
Consome fresa vegetariano,Primero,469,13.7,23.1,5.5,2.5,Europa,Horno
Ensalada griega fresa alto en fibra,Primero,283,11.7,13.8,7.2,7.5,Asia,Horno
Ensalada caprese vainilla alto en fibra,Primero,348,8.6,37.5,7.8,7.1,Africa,Asado
Crema de champiñones vainilla sin gluten,Primero,654,14.4,32.1,10.3,9.9,Europa,Frito
Vichyssoise manzana alto en fibra,Primero,468,14.3,39.5,14.6,3.1,Africa,Asado
Sopa de lentejas mango sin azucar,Primero,162,13.3,27.8,9.1,4.3,America,Horno
Ensalada rusa chocolate sin gluten,Primero,441,10.5,24.5,10.6,2.9,Europa,Asado
Crema de zanahoria coco alto en fibra,Primero,567,7.9,10.9,6.8,6.1,America,Frito
Ensalada de quinoa limon sin azucar,Primero,272,14.7,20.8,5.3,4.8,Asia,Frito
Ensalada de pasta fresa sin gluten,Primero,161,13.5,29.6,7.7,6.1,America,Frito
Sopa miso mango bajo en grasas,Primero,337,9.0,38.2,10.7,8.1,America,Crudo
Pollo asado vainilla vegetariano,Segundo,675,47.9,12.5,14.1,4.0,Europa,Horno
Salmon al horno limon sin azucar,Segundo,489,26.8,12.2,34.6,4.2,Asia,Frito
Chuletas de cerdo limon integral,Segundo,679,31.0,7.7,19.3,3.9,Oceania,Asado
Lomo de res manzana integral,Segundo,502,27.2,13.9,34.8,4.4,Oceania,Cocido
Pescado frito chocolate bajo en grasas,Segundo,509,16.6,13.5,35.8,3.2,Asia,Crudo
Estofado de ternera naranja bajo en grasas,Segundo,348,19.6,5.2,23.7,3.7,Asia,Cocido
Paella limon bajo en grasas,Segundo,490,27.3,6.1,15.2,5.0,Oceania,Crudo
Fajitas de pollo naranja bajo en grasas,Segundo,537,16.9,13.8,37.8,1.1,Europa,Frito
Tacos de pescado coco vegetariano,Segundo,266,49.3,20.0,22.1,2.2,Africa,Cocido
Hamburguesa casera manzana sin gluten,Segundo,622,23.6,27.8,18.4,2.9,Europa,Cocido
Curry de pollo mango sin azucar,Segundo,697,38.0,27.6,34.6,0.7,Oceania,Frito
Pollo al curry fresa sin azucar,Segundo,632,38.4,17.6,17.8,4.4,Oceania,Horno
Filete de pescado manzana sin azucar,Segundo,512,16.7,14.7,13.7,1.8,Asia,Cocido
Carne guisada limon sin azucar,Segundo,445,42.6,7.2,24.5,1.8,Europa,Horno
Costillas de cerdo limon sin azucar,Segundo,496,29.8,13.8,16.0,0.6,Oceania,Frito
Arroz con pollo coco sin gluten,Segundo,208,44.2,26.2,37.0,1.7,America,Frito
Lasaña chocolate sin azucar,Segundo,338,26.9,24.1,14.9,2.4,Europa,Horno
Pizza margarita limon alto en fibra,Segundo,378,20.4,25.4,34.2,2.9,Africa,Asado
Pizza de pepperoni fresa integral,Segundo,189,49.6,8.1,20.6,1.7,Africa,Cocido
Pasta boloñesa limon alto en fibra,Segundo,235,17.9,13.6,26.7,3.2,Africa,Horno
Pastel de chocolate limon alto en fibra,Postre,529,6.3,39.6,19.0,2.6,Europa,Asado
Helado de vainilla fresa vegetariano,Postre,247,7.4,61.5,7.9,4.2,Asia,Asado
Tarta de manzana manzana alto en fibra,Postre,673,2.5,50.7,22.6,2.6,Asia,Crudo
Flan mango bajo en grasas,Postre,373,5.4,48.2,19.3,2.4,Asia,Asado
Brownie mango vegetariano,Postre,196,3.7,66.3,22.0,2.8,Asia,Asado
Mousse de limon fresa bajo en grasas,Postre,179,5.6,59.6,13.5,2.2,Europa,Crudo
Galletas de avena fresa alto en fibra,Postre,579,5.5,59.0,13.6,3.7,Europa,Cocido
Pan dulce naranja sin gluten,Postre,501,3.3,57.4,26.5,4.0,Asia,Frito
Churros limon vegetariano,Postre,667,2.2,56.7,16.6,1.5,Asia,Crudo
Arroz con leche chocolate sin azucar,Postre,664,5.9,37.0,21.1,2.4,Asia,Frito
Pastel de zanahoria vainilla integral,Postre,288,2.7,48.0,6.8,3.4,Africa,Crudo
Helado de fresa manzana alto en fibra,Postre,255,7.5,65.2,8.3,3.7,Asia,Horno
Tarta de queso limon integral,Postre,697,5.0,59.6,12.7,2.4,Africa,Crudo
Panna cotta mango sin azucar,Postre,449,5.6,55.8,28.3,4.7,Oceania,Horno
Crema catalana manzana sin gluten,Postre,172,3.8,65.4,14.7,3.1,Asia,Horno
Galletas de chocolate naranja vegetariano,Postre,543,3.7,48.0,29.3,4.0,America,Horno
Pastel selva negra naranja alto en fibra,Postre,338,2.6,32.3,12.5,2.9,America,Cocido
Cheesecake de limon mango alto en fibra,Postre,494,6.5,61.9,5.1,1.6,Africa,Frito
Yogur natural manzana alto en fibra,Postre,525,4.9,61.2,14.1,1.2,Africa,Crudo
Yogur de frutas vainilla bajo en grasas,Postre,392,6.1,41.0,29.9,2.0,Africa,Cocido
Sopa de verduras limon vegetariano,Primero,633,9.1,11.8,10.9,4.7,Europa,Crudo
Ensalada Cesar limon sin gluten,Primero,386,8.4,30.0,7.0,8.7,Europa,Asado
Crema de calabaza naranja bajo en grasas,Primero,202,11.0,33.9,5.2,3.2,Asia,Horno
Minestrone coco alto en fibra,Primero,164,9.4,10.4,5.4,3.1,Europa,Crudo
Gazpacho vainilla sin gluten,Primero,414,11.6,17.9,5.4,4.9,Africa,Horno
Sopa de pollo naranja alto en fibra,Primero,523,12.5,25.9,12.7,7.3,Oceania,Frito
Caldo gallego chocolate alto en fibra,Primero,423,10.1,30.6,10.5,6.0,Europa,Crudo
Salmorejo chocolate vegetariano,Primero,573,13.8,11.6,11.6,3.9,Africa,Horno
Crema de esparragos vainilla sin gluten,Primero,301,5.9,35.2,5.9,9.9,Europa,Crudo
Consome coco integral,Primero,257,7.1,37.8,6.4,6.8,Oceania,Crudo
Ensalada griega mango sin gluten,Primero,648,14.7,24.7,11.5,6.9,Oceania,Cocido
Ensalada caprese coco integral,Primero,394,6.7,15.7,3.1,4.8,Asia,Cocido
Crema de champiñones limon alto en fibra,Primero,578,7.7,19.1,9.2,6.9,Europa,Cocido
Vichyssoise mango integral,Primero,226,8.1,29.5,3.5,8.1,Africa,Crudo
Sopa de lentejas limon vegetariano,Primero,420,14.4,20.6,4.3,6.9,Africa,Crudo
Ensalada rusa vainilla bajo en grasas,Primero,627,11.8,32.7,14.4,5.5,Africa,Crudo
Crema de zanahoria chocolate sin gluten,Primero,666,6.6,12.1,6.8,8.8,Africa,Cocido
Ensalada de quinoa naranja sin gluten,Primero,479,13.7,26.2,14.3,6.1,Asia,Crudo
Ensalada de pasta limon bajo en grasas,Primero,547,6.6,37.1,2.5,8.1,Europa,Frito
Sopa miso manzana sin gluten,Primero,430,12.9,27.5,2.9,3.7,America,Horno
Pollo asado naranja sin gluten,Segundo,339,33.7,27.9,39.6,2.4,Oceania,Horno
Salmon al horno limon sin gluten,Segundo,216,23.9,13.9,36.0,0.4,Asia,Asado
Chuletas de cerdo vainilla vegetariano,Segundo,421,17.9,10.3,36.2,3.0,Africa,Crudo
Lomo de res limon vegetariano,Segundo,435,44.7,29.7,34.7,3.6,Europa,Cocido
Pescado frito chocolate vegetariano,Segundo,642,35.2,13.2,13.7,2.5,Oceania,Cocido
Estofado de ternera manzana vegetariano,Segundo,597,42.2,18.1,15.1,2.9,America,Frito
Paella vainilla integral,Segundo,664,47.8,28.6,28.6,3.9,Africa,Asado
Fajitas de pollo naranja sin azucar,Segundo,409,17.8,25.6,14.1,0.8,Oceania,Frito
Tacos de pescado manzana integral,Segundo,438,27.7,15.3,37.5,4.3,America,Frito
Hamburguesa casera fresa integral,Segundo,170,33.2,12.8,13.5,4.8,America,Asado
Curry de pollo chocolate bajo en grasas,Segundo,571,23.9,7.9,35.2,4.7,Oceania,Crudo
Pollo al curry chocolate alto en fibra,Segundo,644,27.8,19.6,22.7,2.6,Oceania,Frito
Filete de pescado manzana sin azucar,Segundo,349,19.9,15.9,24.4,1.4,America,Frito
Carne guisada chocolate sin azucar,Segundo,225,37.3,23.1,15.2,2.9,Europa,Horno
Costillas de cerdo vainilla alto en fibra,Segundo,440,48.0,15.6,12.5,1.9,Africa,Crudo
Arroz con pollo vainilla bajo en grasas,Segundo,284,23.6,14.1,26.0,2.1,Europa,Crudo
Lasaña vainilla integral,Segundo,210,42.1,17.7,28.7,1.5,Europa,Horno
Pizza margarita coco sin azucar,Segundo,632,31.1,9.1,21.5,3.9,Asia,Crudo
Pizza de pepperoni manzana alto en fibra,Segundo,390,47.8,11.4,22.0,1.5,Asia,Asado
Pasta boloñesa fresa alto en fibra,Segundo,241,28.0,9.7,23.7,1.2,Africa,Frito
Pastel de chocolate naranja vegetariano,Postre,689,5.8,72.8,6.1,2.4,Oceania,Asado
Helado de vainilla chocolate sin azucar,Postre,171,6.0,61.1,23.0,2.7,Africa,Frito
Tarta de manzana limon bajo en grasas,Postre,695,5.3,39.6,10.6,3.1,Africa,Horno
Flan vainilla sin gluten,Postre,563,4.7,31.0,13.1,2.3,America,Frito
Brownie coco integral,Postre,492,5.1,33.6,10.7,4.2,Oceania,Frito
Mousse de limon fresa sin azucar,Postre,326,5.6,56.0,18.0,1.2,Oceania,Cocido
Galletas de avena mango integral,Postre,363,7.7,56.4,13.4,4.0,America,Crudo
Pan dulce vainilla integral,Postre,373,7.5,53.0,9.0,1.9,Oceania,Cocido
Churros chocolate sin azucar,Postre,232,4.4,32.0,19.3,3.4,Asia,Asado
Arroz con leche naranja vegetariano,Postre,694,4.2,50.6,24.9,2.0,Oceania,Asado
Pastel de zanahoria coco integral,Postre,237,4.4,78.5,5.1,3.6,Africa,Crudo
Helado de fresa vainilla vegetariano,Postre,213,5.5,68.5,29.5,3.1,Asia,Asado
Tarta de queso fresa sin azucar,Postre,237,3.1,61.2,7.5,4.1,Asia,Crudo
Panna cotta vainilla bajo en grasas,Postre,298,7.0,36.7,22.6,4.2,Africa,Horno
Crema catalana fresa integral,Postre,299,4.4,32.1,13.0,1.6,Asia,Crudo
Galletas de chocolate mango sin azucar,Postre,579,6.6,41.1,20.9,2.4,Africa,Cocido
Pastel selva negra chocolate alto en fibra,Postre,488,6.6,67.0,8.2,4.1,Europa,Frito
Cheesecake de limon vainilla integral,Postre,693,3.2,75.5,5.0,4.5,Europa,Horno
Yogur natural manzana alto en fibra,Postre,266,7.6,73.9,10.8,2.9,Asia,Frito
Yogur de frutas manzana sin azucar,Postre,666,7.2,75.9,26.5,3.3,Europa,Frito
Sopa de verduras mango alto en fibra,Primero,428,11.9,37.7,10.9,4.2,Europa,Horno
Ensalada Cesar fresa sin gluten,Primero,573,14.3,16.0,3.3,4.4,America,Cocido
Crema de calabaza vainilla sin azucar,Primero,192,8.8,34.9,15.0,2.5,Africa,Horno
Minestrone limon bajo en grasas,Primero,519,8.5,22.3,11.9,6.2,Asia,Frito
Gazpacho coco sin azucar,Primero,194,8.8,38.9,10.4,5.2,Europa,Horno
Sopa de pollo coco sin azucar,Primero,497,13.2,29.3,12.1,7.6,Africa,Frito
Caldo gallego vainilla integral,Primero,453,13.8,29.8,10.6,5.9,America,Horno
Salmorejo manzana integral,Primero,215,14.9,28.3,3.1,8.8,Africa,Crudo
Crema de esparragos chocolate alto en fibra,Primero,326,5.8,36.4,8.6,6.4,Oceania,Cocido
Consome limon vegetariano,Primero,642,12.7,10.3,8.4,3.5,Europa,Crudo
Ensalada griega limon bajo en grasas,Primero,594,8.6,20.5,9.5,6.7,Asia,Asado
Ensalada caprese limon bajo en grasas,Primero,361,14.1,12.0,9.0,5.2,Asia,Asado
Crema de champiñones coco integral,Primero,432,10.0,12.8,15.0,4.1,America,Crudo
Vichyssoise chocolate alto en fibra,Primero,577,7.3,36.9,13.0,8.0,Europa,Frito
Sopa de lentejas manzana alto en fibra,Primero,478,10.6,29.9,5.4,8.2,Europa,Frito
Ensalada rusa coco integral,Primero,537,7.2,25.4,2.5,5.0,America,Crudo
Crema de zanahoria fresa bajo en grasas,Primero,409,11.8,24.6,13.8,7.3,Africa,Asado
Ensalada de quinoa manzana integral,Primero,236,13.1,16.9,9.2,2.5,Oceania,Cocido
Ensalada de pasta limon sin azucar,Primero,276,5.9,13.5,9.1,3.6,Oceania,Frito
Sopa miso chocolate bajo en grasas,Primero,242,8.7,36.3,8.3,6.9,Asia,Cocido
Pollo asado limon integral,Segundo,252,32.0,21.0,24.4,0.9,Europa,Frito
Salmon al horno vainilla sin gluten,Segundo,166,18.2,8.5,17.2,1.7,Europa,Crudo
Chuletas de cerdo chocolate sin azucar,Segundo,488,46.1,19.0,27.8,0.2,Asia,Frito
Lomo de res vainilla alto en fibra,Segundo,397,24.0,24.3,35.6,3.0,Asia,Crudo
Pescado frito limon vegetariano,Segundo,247,30.1,26.3,21.5,4.2,Europa,Horno
Estofado de ternera vainilla bajo en grasas,Segundo,178,45.0,12.4,27.3,0.6,Africa,Horno
Paella chocolate alto en fibra,Segundo,225,16.5,11.5,37.6,4.7,Asia,Horno
Fajitas de pollo manzana bajo en grasas,Segundo,603,21.0,17.6,15.1,0.8,Asia,Asado
Tacos de pescado chocolate integral,Segundo,494,46.6,27.8,31.8,3.6,Africa,Horno
Hamburguesa casera chocolate alto en fibra,Segundo,321,24.2,9.9,21.0,3.6,Oceania,Crudo
Curry de pollo mango vegetariano,Segundo,184,36.3,17.0,32.4,3.4,Africa,Cocido
Pollo al curry mango integral,Segundo,610,27.5,22.5,34.9,0.7,Oceania,Frito
Filete de pescado chocolate vegetariano,Segundo,214,42.4,10.0,19.0,4.0,Europa,Asado
Carne guisada chocolate alto en fibra,Segundo,644,34.1,11.9,35.1,2.0,Asia,Cocido
Costillas de cerdo fresa alto en fibra,Segundo,150,28.8,13.1,18.9,3.9,America,Crudo
Arroz con pollo manzana vegetariano,Segundo,431,21.6,27.3,32.9,3.6,America,Horno
Lasaña limon sin azucar,Segundo,276,34.2,11.4,22.7,4.0,Africa,Horno
Pizza margarita mango sin gluten,Segundo,276,35.2,14.2,25.4,4.7,Oceania,Crudo
Pizza de pepperoni manzana alto en fibra,Segundo,235,33.7,23.9,28.4,3.8,Asia,Frito
Pasta boloñesa naranja sin gluten,Segundo,188,44.3,23.1,23.1,1.7,Oceania,Asado
Pastel de chocolate coco bajo en grasas,Postre,489,2.2,39.5,20.7,1.7,Oceania,Cocido
Helado de vainilla chocolate sin azucar,Postre,553,7.7,33.5,9.2,1.2,Africa,Horno
Tarta de manzana mango integral,Postre,381,4.3,55.7,21.8,1.2,Oceania,Horno
Flan chocolate bajo en grasas,Postre,331,4.7,50.8,29.8,3.1,Africa,Cocido
Brownie limon bajo en grasas,Postre,359,3.0,42.9,6.4,3.3,Africa,Horno
Mousse de limon fresa sin gluten,Postre,219,4.1,56.3,18.9,2.3,Europa,Crudo
Galletas de avena mango integral,Postre,231,4.1,35.9,10.2,3.5,America,Cocido
Pan dulce chocolate sin azucar,Postre,186,6.6,31.5,19.9,2.1,Africa,Crudo
Churros vainilla integral,Postre,645,6.4,66.5,9.4,1.9,Oceania,Frito
Arroz con leche coco integral,Postre,318,3.8,50.5,23.4,4.6,Africa,Crudo
Pastel de zanahoria mango vegetariano,Postre,488,2.4,73.7,14.9,4.8,Africa,Crudo
Helado de fresa coco vegetariano,Postre,362,5.6,75.8,26.5,2.7,America,Crudo
Tarta de queso coco vegetariano,Postre,447,2.7,33.0,26.0,4.6,Asia,Frito
Panna cotta naranja alto en fibra,Postre,490,7.4,37.9,26.1,3.3,Africa,Crudo
Crema catalana limon bajo en grasas,Postre,463,7.0,77.2,11.0,3.9,Africa,Horno
Galletas de chocolate vainilla integral,Postre,573,2.2,77.3,15.8,3.7,Oceania,Frito
Pastel selva negra coco vegetariano,Postre,489,3.1,60.5,5.9,4.6,Asia,Asado
Cheesecake de limon limon bajo en grasas,Postre,472,2.1,42.7,5.2,3.2,Europa,Asado
Yogur natural chocolate sin gluten,Postre,529,7.0,76.3,27.9,1.4,Europa,Frito
Yogur de frutas fresa integral,Postre,551,5.4,67.5,21.7,3.3,Oceania,Horno
Sopa de verduras vainilla bajo en grasas,Primero,481,13.8,20.2,4.8,7.3,Africa,Asado
Ensalada Cesar fresa alto en fibra,Primero,619,14.2,34.8,4.2,4.2,Europa,Crudo
Crema de calabaza fresa integral,Primero,517,11.1,12.5,5.7,2.3,Africa,Cocido
Minestrone vainilla bajo en grasas,Primero,412,8.4,31.3,11.7,6.1,Oceania,Horno
Gazpacho mango sin gluten,Primero,320,6.6,10.9,9.9,2.1,Africa,Frito
Sopa de pollo naranja integral,Primero,297,13.2,36.4,4.8,9.1,America,Cocido
Caldo gallego vainilla alto en fibra,Primero,481,10.4,28.4,13.6,4.4,Asia,Asado
Salmorejo mango vegetariano,Primero,227,14.7,19.6,6.9,6.6,Oceania,Frito
Crema de esparragos manzana sin azucar,Primero,532,6.1,21.2,5.2,7.7,America,Crudo
Consome fresa alto en fibra,Primero,536,7.2,10.3,14.5,9.4,America,Horno
Ensalada griega coco integral,Primero,523,10.4,17.3,10.5,5.0,America,Asado
Ensalada caprese fresa bajo en grasas,Primero,581,8.9,17.6,8.3,4.6,Asia,Crudo
Crema de champiñones vainilla integral,Primero,545,13.3,22.2,4.3,4.9,Oceania,Asado
Vichyssoise limon bajo en grasas,Primero,315,12.4,27.2,4.4,7.4,Oceania,Crudo
Sopa de lentejas coco integral,Primero,531,8.9,12.9,12.4,9.8,Oceania,Crudo
Ensalada rusa chocolate integral,Primero,609,14.0,16.7,12.7,6.4,America,Horno
Crema de zanahoria vainilla sin azucar,Primero,383,8.6,20.2,2.9,2.6,America,Cocido
Ensalada de quinoa manzana bajo en grasas,Primero,440,9.2,18.0,5.9,3.6,Oceania,Horno
Ensalada de pasta chocolate bajo en grasas,Primero,377,5.8,24.3,8.6,7.5,Oceania,Crudo
Sopa miso vainilla integral,Primero,391,7.3,20.4,3.9,6.9,America,Cocido
Pollo asado coco alto en fibra,Segundo,492,45.0,29.5,32.4,3.4,Asia,Horno
Salmon al horno fresa vegetariano,Segundo,439,47.4,9.7,27.7,3.4,Oceania,Horno
Chuletas de cerdo coco bajo en grasas,Segundo,157,48.5,28.2,36.6,4.1,Asia,Asado
Lomo de res coco sin azucar,Segundo,487,36.2,15.2,18.6,4.9,Africa,Asado
Pescado frito fresa vegetariano,Segundo,278,22.3,5.2,10.6,3.4,Asia,Cocido
Estofado de ternera naranja bajo en grasas,Segundo,589,27.5,6.7,19.9,0.1,Europa,Frito
Paella vainilla vegetariano,Segundo,533,49.2,16.1,23.0,2.2,Asia,Horno
Fajitas de pollo chocolate sin gluten,Segundo,264,16.2,22.6,12.1,3.1,Asia,Cocido
Tacos de pescado fresa sin gluten,Segundo,359,20.6,18.1,20.2,0.3,America,Frito
Hamburguesa casera chocolate integral,Segundo,233,41.9,7.9,35.0,3.9,Europa,Cocido
Curry de pollo fresa integral,Segundo,315,26.3,9.1,26.3,2.3,Oceania,Cocido
Pollo al curry coco vegetariano,Segundo,434,17.3,24.4,30.1,1.4,America,Asado
Filete de pescado manzana bajo en grasas,Segundo,199,30.2,24.7,32.6,0.3,Africa,Cocido
Carne guisada manzana sin gluten,Segundo,514,19.4,17.0,18.9,4.8,Asia,Horno
Costillas de cerdo coco vegetariano,Segundo,520,30.9,7.5,28.5,4.3,Africa,Frito
Arroz con pollo naranja alto en fibra,Segundo,241,23.8,7.9,10.7,1.7,America,Asado
Lasaña mango bajo en grasas,Segundo,472,28.2,25.0,22.1,1.4,Europa,Frito
Pizza margarita fresa integral,Segundo,366,32.5,7.6,31.4,3.6,Africa,Horno
Pizza de pepperoni limon bajo en grasas,Segundo,589,40.0,22.0,32.9,1.3,Europa,Asado
Pasta boloñesa coco sin azucar,Segundo,644,34.1,17.6,22.0,0.9,Europa,Crudo
Pastel de chocolate mango vegetariano,Postre,315,4.2,31.0,11.6,4.0,Africa,Horno
Helado de vainilla naranja sin azucar,Postre,308,6.5,66.4,15.3,2.9,Europa,Frito
Tarta de manzana limon alto en fibra,Postre,598,5.9,32.6,30.0,1.3,America,Asado
Flan fresa sin azucar,Postre,678,6.2,78.2,7.6,1.2,Europa,Frito
Brownie coco sin azucar,Postre,517,4.5,30.3,11.8,1.4,America,Frito
Mousse de limon fresa sin azucar,Postre,309,3.8,66.3,8.2,1.7,Africa,Asado
Galletas de avena fresa bajo en grasas,Postre,516,7.2,61.4,12.1,1.7,Asia,Frito
Pan dulce naranja sin gluten,Postre,248,2.7,66.6,8.9,4.4,Europa,Asado
Churros mango sin azucar,Postre,375,7.2,68.0,22.8,1.8,Oceania,Asado
Arroz con leche chocolate sin gluten,Postre,642,6.3,51.7,26.1,3.8,Oceania,Cocido
Pastel de zanahoria vainilla alto en fibra,Postre,444,2.3,52.8,25.1,3.9,Europa,Crudo
Helado de fresa fresa sin azucar,Postre,227,6.4,37.2,20.6,4.7,Europa,Cocido
Tarta de queso chocolate integral,Postre,604,3.4,68.0,21.6,1.1,America,Crudo
Panna cotta coco integral,Postre,556,7.1,66.5,27.9,2.4,Africa,Horno
Crema catalana fresa bajo en grasas,Postre,548,5.1,59.6,24.5,4.5,Europa,Frito
Galletas de chocolate coco bajo en grasas,Postre,151,2.7,62.9,16.5,3.9,Asia,Cocido
Pastel selva negra limon vegetariano,Postre,658,5.3,79.9,17.7,2.5,Africa,Asado
Cheesecake de limon vainilla sin azucar,Postre,683,7.2,47.3,16.7,1.8,Africa,Cocido
Yogur natural fresa sin gluten,Postre,454,2.5,73.7,27.2,2.1,Africa,Cocido
Yogur de frutas fresa integral,Postre,557,2.7,70.1,23.9,4.6,Asia,Asado
Sopa de verduras limon sin azucar,Primero,597,10.0,20.9,14.6,6.7,America,Frito
Ensalada Cesar manzana sin gluten,Primero,164,11.1,14.5,5.3,6.6,Africa,Cocido
Crema de calabaza fresa sin azucar,Primero,613,14.5,14.4,14.0,7.7,Africa,Cocido
Minestrone limon sin gluten,Primero,564,13.4,32.5,5.9,2.3,Asia,Asado
Gazpacho limon integral,Primero,227,12.4,23.8,7.5,5.5,Europa,Frito
Sopa de pollo vainilla bajo en grasas,Primero,580,7.0,36.6,4.6,8.1,Oceania,Cocido
Caldo gallego coco alto en fibra,Primero,596,5.4,10.7,9.8,6.9,America,Cocido
Salmorejo manzana bajo en grasas,Primero,327,9.7,33.6,13.4,3.8,Europa,Cocido
Crema de esparragos coco bajo en grasas,Primero,403,12.9,39.5,12.5,5.7,Africa,Frito
Consome chocolate bajo en grasas,Primero,522,10.7,38.8,12.5,7.8,Asia,Horno
Ensalada griega vainilla sin gluten,Primero,663,6.8,25.3,4.3,9.8,Asia,Horno
Ensalada caprese mango bajo en grasas,Primero,592,9.4,11.4,12.9,9.2,Oceania,Frito
Crema de champiñones vainilla sin gluten,Primero,564,8.0,10.5,14.0,9.0,Europa,Frito
Vichyssoise limon vegetariano,Primero,391,8.9,15.9,13.9,4.8,Europa,Crudo
Sopa de lentejas naranja integral,Primero,288,6.9,24.7,9.6,3.5,Africa,Frito
Ensalada rusa naranja bajo en grasas,Primero,460,5.4,21.6,13.4,4.1,Europa,Cocido
Crema de zanahoria coco sin gluten,Primero,285,14.6,10.6,5.6,8.4,America,Cocido
Ensalada de quinoa naranja vegetariano,Primero,255,5.6,35.0,5.5,2.1,Africa,Cocido
Ensalada de pasta manzana bajo en grasas,Primero,690,8.9,11.6,14.6,5.1,Oceania,Asado
Sopa miso naranja bajo en grasas,Primero,424,8.4,34.3,5.7,9.3,Asia,Frito
Pollo asado mango alto en fibra,Segundo,618,42.4,28.5,11.7,2.7,Africa,Horno
Salmon al horno limon sin azucar,Segundo,527,47.4,7.4,26.8,2.7,Europa,Frito
Chuletas de cerdo mango sin azucar,Segundo,231,28.2,20.1,38.8,4.2,Africa,Asado
Lomo de res mango sin gluten,Segundo,423,23.4,18.9,13.7,2.9,Asia,Crudo
Pescado frito fresa alto en fibra,Segundo,397,28.8,11.8,34.6,0.8,Oceania,Crudo
Estofado de ternera naranja vegetariano,Segundo,603,44.7,14.8,31.2,0.2,Asia,Cocido
Paella limon vegetariano,Segundo,308,31.6,29.2,15.5,3.8,Oceania,Cocido
Fajitas de pollo mango sin gluten,Segundo,353,31.5,26.1,21.4,0.2,Oceania,Cocido
Tacos de pescado manzana sin azucar,Segundo,305,34.6,26.3,30.4,2.3,Europa,Frito
Hamburguesa casera manzana vegetariano,Segundo,450,28.7,18.7,21.5,0.4,Oceania,Cocido
Curry de pollo naranja sin gluten,Segundo,153,31.1,23.0,24.0,1.1,Europa,Horno
Pollo al curry naranja alto en fibra,Segundo,660,44.9,5.0,26.9,0.8,Europa,Horno
Filete de pescado coco alto en fibra,Segundo,287,36.8,14.5,21.3,4.0,America,Asado
Carne guisada vainilla bajo en grasas,Segundo,601,39.4,22.0,18.3,2.4,Oceania,Horno
Costillas de cerdo fresa integral,Segundo,609,16.7,22.0,11.1,5.0,Oceania,Horno
